"","x"
"1","REEP3"
"2","RUSC1"
"3","AL355987.4"
"4","AL354919.1"
"5","AC020928.2"
"6","AC025445.1"
"7","CASR"
"8","OR1D2"
"9","MAS1LP1"
"10","KHDRBS2"
"11","AC004706.2"
"12","AC114956.3"
"13","AL023495.1"
"14","AP001363.1"
"15","AC092098.1"
"16","FBLL1"
"17","AC092919.1"
"18","Z99755.2"
"19","LINC02301"
"20","MIR1224"
"21","APBA3"
"22","RN7SKP37"
"23","RN7SKP151"
"24","AL139093.1"
"25","CLSTN1"
"26","RN7SL2"
"27","MBD3L3"
"28","AC009506.1"
"29","VN1R64P"
"30","KCNN2"
"31","PKN2"
"32","SLC27A5"
"33","RNU6-1049P"
"34","AC022031.2"
"35","RN7SKP16"
"36","TBC1D3B"
"37","AC239868.1"
"38","ZRANB2-AS2"
"39","AC098850.1"
"40","AC022211.2"
"41","RBM8B"
"42","MYL5"
"43","AC110285.5"
"44","AC126323.2"
"45","ROPN1L"
"46","AC005104.1"
"47","PTBP1"
"48","AP003550.1"
"49","SLC27A3"
"50","AL030996.1"
"51","HTR2A"
"52","AC007364.1"
"53","RBBP9"
"54","AC108676.2"
"55","AC005229.2"
"56","AL391095.2"
"57","LCNL1"
"58","AC009117.2"
"59","AC244453.3"
"60","TRIM11"
"61","ANXA4"
"62","PCDHB3"
"63","LINC02299"
"64","RNU6-86P"
"65","AL356968.1"
"66","EXD2"
"67","AP006547.1"
"68","NDUFB9P2"
"69","AP005019.1"
"70","NECTIN3"
"71","LINC00556"
"72","AL358393.1"
"73","RNU6-882P"
"74","AOC2"
"75","MTCYBP14"
"76","AC092138.2"
"77","AP005597.1"
"78","NAB1"
"79","AC092628.1"
"80","MTCO3P11"
"81","AL157395.1"
"82","ABCG4"
"83","AL591926.4"
"84","TTC39C"
"85","SNORA38"
"86","CA15P1"
"87","AC079766.1"
"88","SUPT4H1P1"
"89","AL356280.1"
"90","AC090181.1"
"91","BRK1P2"
"92","AL589763.1"
"93","RNA5SP257"
"94","UFSP2"
"95","VENTXP4"
"96","CLDN3"
"97","MTND1P5"
"98","RNU6-425P"
"99","EPPIN"
"100","SCGB2B3P"
"101","DDX18P5"
"102","AL513190.1"
"103","RNA5SP50"
"104","CYP2AB1P"
"105","ACSS2"
"106","AC005730.2"
"107","MIR3192"
"108","ZFR2"
"109","AC012414.4"
"110","AC025580.3"
"111","HHIPL2"
"112","LINC01680"
"113","AC025164.1"
"114","RN7SL314P"
"115","VTI1BP1"
"116","AC010307.1"
"117","AL158071.2"
"118","CRYAA2"
"119","AC133555.3"
"120","OXA1L"
"121","AL109811.2"
"122","MTCO3P35"
"123","RNU1-20P"
"124","AC245164.1"
"125","HIST1H3E"
"126","ARHGAP4"
"127","GABARAP"
"128","RPL7P23"
"129","MIR1972-1"
"130","STAG3L5P"
"131","TNFAIP1"
"132","AC012510.1"
"133","LINC02662"
"134","MIR4714"
"135","LINC02090"
"136","TMEM239"
"137","TSPYL1"
"138","ARL6IP4"
"139","LINC02455"
"140","AL592402.1"
"141","AC078842.1"
"142","AC245036.2"
"143","AC124283.4"
"144","AC092278.1"
"145","AC048346.1"
"146","AMY2A"
"147","DTYMK"
"148","RPS3AP39"
"149","AL158835.1"
"150","LATS1"
"151","Z97192.3"
"152","AGPAT3"
"153","AC012506.2"
"154","TREHP1"
"155","C15orf41"
"156","HMGA2-AS1"
"157","NBPF9"
"158","CPLX4"
"159","TRDMT1"
"160","RPS2"
"161","TRAV8-3"
"162","GYPB"
"163","RPL18P1"
"164","FBP1"
"165","RNU7-121P"
"166","DDX3X"
"167","DTWD1"
"168","C1orf198"
"169","MN1"
"170","C5AR1"
"171","TCOF1"
"172","NUFIP1"
"173","AC096659.1"
"174","AL031283.3"
"175","AC069257.3"
"176","ZER1"
"177","AL158206.1"
"178","AC003957.1"
"179","AF212831.1"
"180","COL18A1-AS2"
"181","TSPAN7"
"182","SAMD9"
"183","LINC00922"
"184","SCARNA21B"
"185","SSH2"
"186","AC096543.2"
"187","FAHD2CP"
"188","GORASP2"
"189","ZXDB"
"190","L3MBTL3"
"191","GULOP"
"192","RF00603"
"193","AL513343.1"
"194","CGAS"
"195","RPS28"
"196","RASL10A"
"197","PPIAP79"
"198","AC025752.1"
"199","RF01875"
"200","KIF4CP"
"201","G6PC"
"202","AL606970.2"
"203","USP9YP26"
"204","ZNF558"
"205","THG1L"
"206","WDR5"
"207","SNORD113-2"
"208","MIR548AJ2"
"209","GLULP6"
"210","HELZ"
"211","LY9"
"212","HNRNPA1P3"
"213","CHPF2"
"214","RPL26"
"215","EIF4E2"
"216","TIPARP"
"217","AC092143.3"
"218","OR4D1"
"219","OOSP1P2"
"220","AC092295.2"
"221","RGPD4"
"222","AC006116.8"
"223","RPSAP50"
"224","SLX1A-SULT1A3"
"225","SNORD116-20"
"226","AC092608.1"
"227","MIR3937"
