"","x"
"1","AC032019.1"
"2","AC233263.1"
"3","AC104803.1"
"4","AL355989.1"
"5","AC104131.1"
"6","RPSAP54"
"7","TTC16"
"8","LINC02188"
"9","HMOX2"
"10","AC107882.1"
"11","MMP26"
"12","IPO13"
"13","AC022559.1"
"14","BUD31P1"
"15","FLVCR1"
"16","AC005943.2"
"17","EXOSC1"
"18","AC021224.1"
"19","AC022080.2"
"20","PLA2G16"
"21","PRAMEF5"
"22","EEF1B2P2"
"23","AKR1C3"
"24","SNORD69"
"25","GIPC3"
"26","PPIEL"
"27","TUBB4BP4"
"28","AC055720.2"
"29","RNF151"
"30","IBTK"
"31","RNU6-146P"
"32","ORMDL1"
"33","SCARNA10"
"34","AC094104.2"
"35","AF305872.1"
"36","ABCB4"
"37","TRIML2"
"38","FAM32CP"
"39","HLA-DOA"
"40","LINC01353"
"41","MIR648"
"42","FOXA2"
"43","AC079382.1"
"44","DDX41"
"45","IP6K2"
"46","WNT8A"
"47","TRG-AS1"
"48","AL117335.1"
"49","AC021087.3"
"50","SNAI1"
"51","FGD5"
"52","ACSM2B"
"53","AC243829.3"
"54","AC009961.2"
"55","AC009035.1"
"56","AC067773.1"
"57","RNU7-115P"
"58","SPRR1A"
"59","AL138885.2"
"60","HIST1H1PS2"
"61","TEX38"
"62","PAGR1"
"63","SLC22A9"
"64","ANXA2P3"
"65","AC008063.1"
"66","LINC00940"
"67","AC007368.2"
"68","FKBP4P8"
"69","AC025430.1"
"70","IGSF3"
"71","SF3B6"
"72","AP003696.1"
"73","AC034229.3"
"74","ARHGEF17"
"75","USP9YP10"
"76","AC015914.1"
"77","AC007406.5"
"78","AC005162.3"
"79","RNU1-76P"
"80","MIR1301"
"81","AC012362.1"
"82","IGLVIV-59"
"83","TMEM59L"
"84","MTERF4"
"85","AC004980.4"
"86","AL445466.1"
"87","TBP"
"88","AC104763.1"
"89","GCSHP2"
"90","AC087341.1"
"91","FAM219A"
"92","RNU6-494P"
"93","ZNF71"
"94","AC015712.5"
"95","AC008764.5"
"96","AC000089.1"
"97","SOWAHA"
"98","IGKV1D-42"
"99","SELENOOLP"
"100","R3HCC1L"
"101","RF02171"
"102","ZNF460-AS1"
"103","FRAS1"
"104","PCDHGB2"
"105","RAB24"
"106","RFX1"
"107","AL133396.2"
"108","AL591767.1"
"109","RAD51-AS1"
"110","DUPD1"
"111","AC006548.1"
"112","AC022146.1"
"113","METTL5"
"114","RF01957"
"115","AC243773.2"
"116","AC007666.1"
"117","CADM2"
"118","RPSAP65"
"119","RNU7-152P"
"120","SEPHS1"
"121","RN7SL180P"
"122","CXCR3"
"123","AL161772.1"
"124","AC004847.1"
"125","FAM86JP"
"126","ZNF512"
"127","GSG1"
"128","AC108751.4"
"129","AC132008.2"
"130","AC008878.4"
"131","HMGB2"
"132","AC068790.9"
"133","TEX47"
"134","SDC2"
"135","BMP10"
"136","PPARGC1A"
"137","HBG2"
"138","AC234644.1"
"139","AC138466.2"
"140","RPL18P13"
"141","TM4SF19-TCTEX1D2"
"142","RNA5S17"
"143","AL162713.1"
"144","AC018638.5"
"145","RPL7AP6"
"146","DENND3"
"147","ISG20"
"148","SLFN14"
"149","C18orf25"
"150","AC239798.4"
"151","RRN3"
"152","YEATS2"
"153","DPPA3P2"
"154","AC006273.1"
"155","ARHGDIB"
"156","LINC02110"
"157","TBC1D10B"
"158","AC024940.4"
"159","CLDND2"
"160","RPL7AP2"
"161","SUFU"
"162","RNU6-939P"
"163","PLEKHJ1"
"164","TPT1P9"
"165","AP003037.1"
"166","AL391069.2"
"167","ATP13A3"
"168","AP001264.1"
"169","FLVCR1-DT"
"170","RF01981"
"171","ATXN7"
"172","ITSN1"
"173","SDR39U1"
"174","PNLIPRP2"
"175","C16orf96"
"176","AL160287.1"
"177","PCAT18"
"178","AL357153.3"
"179","RPS27P21"
"180","SNORD36C"
"181","MAGIX"
"182","LINC01582"
"183","ZNF576"
"184","EIPR1-IT1"
"185","SNRPFP3"
"186","AC097347.1"
"187","RAMP3"
"188","AC131274.1"
"189","AC012507.1"
"190","TBC1D3D"
"191","AB015752.1"
"192","AC009097.4"
"193","DSCR4-IT1"
"194","AC092139.3"
"195","YES1P1"
"196","AC003682.1"
"197","AL356585.1"
"198","AC004231.1"
"199","AL606923.1"
"200","NUP210P2"
"201","RGP1"
"202","RGMB"
"203","AC002386.1"
"204","AF279873.4"
"205","AC073530.2"
"206","MTND4P4"
"207","MCHR1"
"208","ABCB9"
"209","AC109454.2"
